,Open,High,Low,Volume,Dividends,Stock Splits,Adjusted Close,compound,negative,neutral,positive
2002-05-23,1.1564290523529053,1.2428569793701172,1.1457140445709229,104790000,0.0,1.0,1.1964290142059326,-0.9994,0.167,0.742,0.091
2002-05-24,1.214285969734192,1.225000023841858,1.1971429586410522,11104800,0.0,1.0,1.2100000381469727,-0.9992,0.162,0.744,0.094
2002-05-28,1.2135709524154663,1.2321430444717407,1.157142996788025,6609400,0.0,1.0,1.157142996788025,-0.999,0.158,0.757,0.085
2002-05-29,1.1642860174179077,1.1642860174179077,1.0857139825820923,6757800,0.0,1.0,1.1035710573196411,-0.9987,0.144,0.77,0.086
2002-05-30,1.1078569889068604,1.1078569889068604,1.0714290142059326,10154200,0.0,1.0,1.0714290142059326,-0.9993,0.164,0.743,0.093
2002-05-31,1.0785709619522095,1.0785709619522095,1.0714290142059326,8464400,0.0,1.0,1.076429009437561,-0.999,0.153,0.765,0.082
2002-06-03,1.0800000429153442,1.1492860317230225,1.076429009437561,3151400,0.0,1.0,1.1285710334777832,-0.9986,0.158,0.742,0.101
2002-06-04,1.135714054107666,1.1399999856948853,1.1107139587402344,3105200,0.0,1.0,1.1178569793701172,-0.9987,0.164,0.751,0.085
2002-06-05,1.1107139587402344,1.1592860221862793,1.1071430444717407,1531600,0.0,1.0,1.147143006324768,-0.9965,0.143,0.756,0.1
2002-06-06,1.149999976158142,1.2321430444717407,1.1485710144042969,2305800,0.0,1.0,1.182142972946167,-0.9982,0.15,0.743,0.108
2002-06-07,1.1778570413589478,1.1778570413589478,1.1035710573196411,1369200,0.0,1.0,1.1185710430145264,-0.9979,0.132,0.78,0.088
2002-06-10,1.1349999904632568,1.1749999523162842,1.1342860460281372,484400,0.0,1.0,1.1564290523529053,-0.999,0.168,0.737,0.095
2002-06-11,1.1564290523529053,1.1885709762573242,1.1285710334777832,1003800,0.0,1.0,1.1535710096359253,-0.9982,0.151,0.755,0.094
2002-06-12,1.1535710096359253,1.182142972946167,1.089285969734192,1799000,0.0,1.0,1.092857003211975,-0.9982,0.143,0.761,0.095
2002-06-13,1.1042859554290771,1.122143030166626,1.0800000429153442,2567600,0.0,1.0,1.0828570127487183,-0.995,0.125,0.788,0.087
2002-06-14,1.082142949104309,1.0857139825820923,0.9800000190734863,4783800,0.0,1.0,0.98642897605896,-0.9969,0.159,0.729,0.112
2002-06-17,1.01357102394104,1.0592859983444214,0.9178569912910461,4855200,0.0,1.0,0.9221429824829102,-0.9988,0.157,0.752,0.091
2002-06-18,0.9385709762573242,0.9392859935760498,0.8421429991722107,10808000,0.0,1.0,0.9107139706611633,-0.9987,0.154,0.761,0.085
2002-06-19,0.9114289879798889,0.9964290261268616,0.892857015132904,5482400,0.0,1.0,0.951429009437561,-0.9987,0.167,0.723,0.111
2002-06-20,0.9714289903640747,1.0399999618530273,0.949999988079071,6111000,0.0,1.0,0.9571430087089539,-0.9983,0.145,0.761,0.093
