Source,Author,Title,Description,URL,Published At,Content
BBC News,https://www.facebook.com/bbcnews,EU okays Microsoft deal for Activision that UK blocked,The proposed $69bn acquisition of Activision is splitting global regulators over competition concerns,https://www.bbc.co.uk/news/entertainment-arts-65566438,2023-05-15T14:50:07Z,"EU regulators have approved Microsoft's $69bn (£55bn) attempt to purchase Call of Duty publisher Activision Blizzard.
The European Commission (EC) said Microsoft had addressed their concerns on comp… [+5026 chars]"
Journal du geek,Olivier,Netflix et fin du partage de compte : alerte à la tentative d’arnaque !,"Les cyberarnaqueurs n'en loupent pas une pour tromper leurs victimes. L'actualité leur sert généralement des motifs parfaits pour de nouvelles tentatives d'escroquerie. Dernier exemple en date : la fin du partage de compte chez Netflix.
Netflix et fin du part…",https://www.journaldugeek.com/2023/06/11/netflix-alerte-a-la-tentative-darnaque/,2023-06-11T14:00:51Z,Les cyberarnaqueurs n'en loupent pas une pour tromper leurs victimes. L'actualité leur sert généralement des motifs parfaits pour de nouvelles tentatives d'escroquerie. Dernier exemple en date : la f… [+2646 chars]
Journal du geek,Julie Hay,Netflix : l’arrivée de la publicité est-elle un succès ?,"Diversifier ses sources de revenus, faire passer la pilule de la fin du partage de compte, l'arrivée de la publicité sur Netflix a de nombreux avantages. Mais l'opération est-elle rentable pour le géant du divertissement ? 
Netflix : l’arrivée de la publicité…",https://www.journaldugeek.com/2023/05/22/netflix-larrivee-de-la-publicite-est-elle-un-succes/,2023-05-22T10:28:41Z,"Diversifier ses sources de revenus, faire passer la pilule de la fin du partage de compte, l'arrivée de la publicité sur Netflix a de nombreux avantages. Mais l'opération est-elle rentable pour le gé… [+4422 chars]"
Journal du geek,Olivier,Netflix veut faire 300 millions de dollars d’économies,"Netflix exclut un gel des embauches ou la mise en œuvre de licenciements supplémentaires… Mais il faudra toutefois faire des économies ! La plateforme prévoit en effet de réduire ses dépenses de 300 millions de dollars cette année.
Netflix veut faire 300 mill…",https://www.journaldugeek.com/2023/05/15/netflix-veut-faire-300-millions-de-dollars-deconomies/,2023-05-15T07:00:34Z,Netflix exclut un gel des embauches ou la mise en uvre de licenciements supplémentaires Mais il faudra toutefois faire des économies ! La plateforme prévoit en effet de réduire ses dépenses de 300 mi… [+2735 chars]
Journal du geek,Allan Blanvillain,Critique Fubar : Schwarzenegger fait une monumentale erreur sur Netflix ,"Comme son éternel complice et rival Sylvester Stallone, Arnold Schwarzenegger s'est décidé à ajouter une nouvelle pierre au monument qu'est sa carrière en passant par la case série pour Netflix. Sauf que Fubar n'est pas une pierre, mais un nouveau clou sur le…",https://www.journaldugeek.com/critique/critique-fubar-schwarzenegger-fait-une-monumentale-erreur-sur-netflix/,2023-05-25T18:00:36Z,"Comme son éternel complice et rival Sylvester Stallone, Arnold Schwarzenegger s'est décidé à ajouter une nouvelle pierre au monument qu'est sa carrière en passant par la case série pour Netflix. Sauf… [+5535 chars]"
Digital Trends,Blair Marnell,Geralt and Yennefer protect Ciri in The Witcher season 3’s new trailer,"The Witcher returns this summer for season 3 as Geralt, Yennefer, and Ciri become a makeshift family. And Geralt will do anything to protect them.",https://www.digitaltrends.com/movies/the-witcher-season-3-new-trailer/,2023-06-08T21:25:23Z,"Witchers don’t have families and don’t get a chance to love like normal people. And yet Geralt of Rivia has found love with the sorceress, Yennefer, and an adopted child in the exiled princess Ciri. … [+1470 chars]"
MakeUseOf,Christian Cawley,"Steam Deck Wins Award, Zelda Tears of the Kingdom Breaks Records, and How to Play Games on Netflix","Our weekly podcast explains how to play games on Netflix, plus there's an unusual recommendation...",https://www.makeuseof.com/steam-deck-wins-award-zelda-tears-of-the-kingdom-record-how-to-play-games-on-netflix/,2023-05-18T10:30:18Z,"Steam Deck gets the plaudits it deserves, the new Zelda game breaks review records, and we tell you all about playing games on Netflix in this week's Really Useful Podcast, the tech podcast for techn… [+592 chars]"
Journal du geek,Arthur Nicolle,Squid Game revient dès cette année sur Netflix !,"La série coréenne signe son retour plus vrai que nature dans un format téléréalité qui brise les barrières de la fiction.
Squid Game revient dès cette année sur Netflix !",https://www.journaldugeek.com/2023/05/20/squid-game-revient-des-cette-annee-sur-netflix/,2023-05-20T07:00:41Z,La série coréenne signe son retour plus vrai que nature dans un format téléréalité qui brise les barrières de la fiction.Que les abonnés à Netflix se réjouissent : le programme le plus populaire est … [+2275 chars]
Xataka.com,John Tones,"Es el mayor fracaso de la historia de Netflix a nivel de reviews. Y por una vez, coinciden crítica y público","De sencillamente desastrosa se puede calificar la recepción a 'La reina Cleopatra', una docuserie con elementos de ficción y abiertamente posicionada con un contenido racial, y que está siendo víctima de un apabullante review bombing que está dejando su puntu…",https://www.xataka.com/streaming/mayor-fracaso-historia-netflix-a-nivel-reviews-vez-coinciden-critica-publico,2023-05-23T18:01:22Z,"De sencillamente desastrosa se puede calificar la recepción a 'La reina Cleopatra', una docuserie con elementos de ficción y abiertamente posicionada con un contenido racial, y que está siendo víctim… [+3646 chars]"
Time,"Megan McCluskey, Moises Mendez II, Eliana Dockterman, Judy Berman and Annabel Gutterman",15 Shows to Watch After Succession,"From shows that share themes of corporate greed and sibling drama, to series that serve as antidotes to the HBO drama's cynical worldview.",https://time.com/6282309/shows-like-succession/,2023-05-25T13:50:15Z,"On May 28, Successionwill conclude after four seasons of scheming, jostling, and maneuvering by a trio (quartet? sorry, Con) of greedy, emotionally stunted, and generally morally bankrupt siblings. A… [+9612 chars]"
